variable,label
OHX23CTC,Coronal Caries: Tooth Count #23
OHX24CTC,Coronal Caries: Tooth Count #24
OHX25CTC,Coronal Caries: Tooth Count #25
OHX26CTC,Coronal Caries: Tooth Count #26
OHX27CTC,Coronal Caries: Tooth Count #27
OHX28CTC,Coronal Caries: Tooth Count #28
OHX29CTC,Coronal Caries: Tooth Count #29
OHX30CTC,Coronal Caries: Tooth Count #30
OHX31CTC,Coronal Caries: Tooth Count #31
OHX02CSC,Coronal Caries:  Surface condition #2
OHX03CSC,Coronal Caries:  Surface condition #3
OHX04CSC,Coronal Caries:  Surface condition #4
OHX05CSC,Coronal Caries:  Surface condition #5
OHX06CSC,Coronal Caries:  Surface condition #6
OHX07CSC,Coronal Caries:  Surface condition #7
OHX08CSC,Coronal Caries:  Surface condition #8
OHX09CSC,Coronal Caries:  Surface condition #9
OHX10CSC,Coronal Caries:  Surface condition #10
OHX11CSC,Coronal Caries:  Surface condition #11
OHX12CSC,Coronal Caries:  Surface condition #12
OHX13CSC,Coronal Caries:  Surface condition #13
OHX14CSC,Coronal Caries:  Surface condition #14
OHX15CSC,Coronal Caries:  Surface condition #15
OHX18CSC,Coronal Caries:  Surface condition #18
OHX19CSC,Coronal Caries:  Surface condition #19
OHX20CSC,Coronal Caries:  Surface condition #20
OHX21CSC,Coronal Caries:  Surface condition #21
OHX22CSC,Coronal Caries:  Surface condition #22
OHX23CSC,Coronal Caries:  Surface condition #23
OHX24CSC,Coronal Caries:  Surface condition #24
OHX25CSC,Coronal Caries:  Surface condition #25
OHX26CSC,Coronal Caries:  Surface condition #26
OHX27CSC,Coronal Caries:  Surface condition #27
OHX28CSC,Coronal Caries:  Surface condition #28
OHX29CSC,Coronal Caries:  Surface condition #29
OHX30CSC,Coronal Caries:  Surface condition #30
OHX31CSC,Coronal Caries:  Surface condition #31
OHX02SE,Dental Sealants:  #2
OHX03SE,Dental Sealants:  #3
OHX04SE,Dental Sealants:  #4
OHX05SE,Dental Sealants:  #5
OHX07SE,Dental Sealants:  #7
OHX10SE,Dental Sealants:  #10
OHX12SE,Dental Sealants:  #12
OHX13SE,Dental Sealants:  #13
OHX14SE,Dental Sealants:  #14
OHX15SE,Dental Sealants:  #15
OHX18SE,Dental Sealants:  #18
OHX19SE,Dental Sealants:  #19
OHX20SE,Dental Sealants:  #20
OHX21SE,Dental Sealants:  #21
OHX28SE,Dental Sealants:  #28
OHX29SE,Dental Sealants:  #29
OHX30SE,Dental Sealants:  #30
OHX31SE,Dental Sealants:  #31
OHDPDSTS,Periodontal Status Code
OHDEXCLU,Medical Exclusion from Periodontal Exam
OHX02CJD,LOA: Max R(2M) DF FGM-CEJ(mm)
OHX02CJM,LOA: Max R(2M) MdF FGM-CEJ(mm)
OHX02CJS,LOA: Max R(2M) MF FGM-CEJ(mm)
OHX02CJP,LOA: Max R(2M) DL FGM-CEJ(mm)
OHX02CJL,LOA: Max R(2M) MdL FGM-CEJ(mm)
OHX02CJA,LOA: Max R(2M) ML FGM-CEJ(mm)
OHX02PCD,LOA: Max R(2M) DF FGM-sulcus(mm)
OHX02PCM,LOA: Max R(2M) MdF FGM-sulcus(mm)
OHX02PCS,LOA: Max R(2M) MF FGM-sulcus(mm)
OHX02PCP,LOA: Max R(2M) DL FGM-sulcus(mm)
OHX02PCL,LOA: Max R(2M) MdL FGM-sulcus(mm)
OHX02PCA,LOA: Max R(2M) ML FGM-sulcus(mm)
OHX02LAD,LOA: Max R(2M) DF calculated AL(mm)
OHX02LAM,LOA: Max R(2M) MdF calculated AL(mm)
OHX02LAS,LOA: Max R(2M) MF calculated AL(mm)
OHX02LAP,LOA: Max R(2M) DL calculated AL(mm)
OHX02LAL,LOA: Max R(2M) MdL calculated AL(mm)
OHX02LAA,LOA: Max R(2M) ML calculated AL(mm)
OHX03CJD,LOA: Max R(1M) DF FGM-CEJ(mm)
OHX03CJM,LOA: Max R(1M) MdF FGM-CEJ(mm)
OHX03CJS,LOA: Max R(1M) MF FGM-CEJ(mm)
OHX03CJP,LOA: Max R(1M) DL FGM-CEJ(mm)
OHX03CJL,LOA: Max R(1M) MdL FGM-CEJ(mm)
OHX03CJA,LOA: Max R(1M) ML FGM-CEJ(mm)
OHX03PCD,LOA: Max R(1M) DF FGM-sulcus(mm)
OHX03PCM,LOA: Max R(1M) MdF FGM-sulcus(mm)
OHX03PCS,LOA: Max R(1M) MF FGM-sulcus(mm)
OHX03PCP,LOA: Max R(1M) DL FGM-sulcus(mm)
OHX03PCL,LOA: Max R(1M) MdL FGM-sulcus(mm)
OHX03PCA,LOA: Max R(1M) ML FGM-sulcus(mm)
OHX03LAD,LOA: Max R(1M) DF calculated AL(mm)
OHX03LAM,LOA: Max R(1M) MdF calculated AL(mm)
OHX03LAS,LOA: Max R(1M) MF calculated AL(mm)
OHX03LAP,LOA: Max R(1M) DL calculated AL(mm)
OHX03LAL,LOA: Max R(1M) MdL calculated AL(mm)
OHX03LAA,LOA: Max R(1M) ML calculated AL(mm)
OHX04CJD,LOA: Max R(2B) DF FGM-CEJ(mm)
OHX04CJM,LOA: Max R(2B) MdF FGM-CEJ(mm)
OHX04CJS,LOA: Max R(2B) MF FGM-CEJ(mm)
OHX04CJP,LOA: Max R(2B) DL FGM-CEJ(mm)
OHX04CJL,LOA: Max R(2B) MdL FGM-CEJ(mm)
OHX04CJA,LOA: Max R(2B) ML FGM-CEJ(mm)
OHX04PCD,LOA: Max R(2B) DF FGM-sulcus(mm)
OHX04PCM,LOA: Max R(2B) MdF FGM-sulcus(mm)
OHX04PCS,LOA: Max R(2B) MF FGM-sulcus(mm)
OHX04PCP,LOA: Max R(2B) DL FGM-sulcus(mm)
OHX04PCL,LOA: Max R(2B) MdL FGM-sulcus(mm)
OHX04PCA,LOA: Max R(2B) ML FGM-sulcus(mm)
OHX04LAD,LOA: Max R(2B) DF calculated AL(mm)
OHX04LAM,LOA: Max R(2B) MdF calculated AL(mm)
OHX04LAS,LOA: Max R(2B) MF calculated AL(mm)
OHX04LAP,LOA: Max R(2B) DL calculated AL(mm)
OHX04LAL,LOA: Max R(2B) MdL calculated AL(mm)
OHX04LAA,LOA: Max R(2B) ML calculated AL(mm)
OHX05CJD,LOA: Max R(1B) DF FGM-CEJ(mm)
OHX05CJM,LOA: Max R(1B) MdF FGM-CEJ(mm)
OHX05CJS,LOA: Max R(1B) MF FGM-CEJ(mm)
OHX05CJP,LOA: Max R(1B) DL FGM-CEJ(mm)
OHX05CJL,LOA: Max R(1B) MdL FGM-CEJ(mm)
OHX05CJA,LOA: Max R(1B) ML FGM-CEJ(mm)
OHX05PCD,LOA: Max R(1B) DF FGM-sulcus(mm)
OHX05PCM,LOA: Max R(1B) MdF FGM-sulcus(mm)
OHX05PCS,LOA: Max R(1B) MF FGM-sulcus(mm)
OHX05PCP,LOA: Max R(1B) DL FGM-sulcus(mm)
OHX05PCL,LOA: Max R(1B) MdL FGM-sulcus(mm)
OHX05PCA,LOA: Max R(1B) ML FGM-sulcus(mm)
OHX05LAD,LOA: Max R(1B) DF calculated AL(mm)
OHX05LAM,LOA: Max R(1B) MdF calculated AL(mm)
OHX05LAS,LOA: Max R(1B) MF calculated AL(mm)
OHX05LAP,LOA: Max R(1B) DL calculated AL(mm)
OHX05LAL,LOA: Max R(1B) MdL calculated AL(mm)
OHX05LAA,LOA: Max R(1B) ML calculated AL(mm)
OHX06CJD,LOA: Max R(C) DF FGM-CEJ(mm)
OHX06CJM,LOA: Max R(C) MdF FGM-CEJ(mm)
OHX06CJS,LOA: Max R(C) MF FGM-CEJ(mm)
OHX06CJP,LOA: Max R(C) DL FGM-CEJ(mm)
OHX06CJL,LOA: Max R(C) MdL FGM-CEJ(mm)
OHX06CJA,LOA: Max R(C) ML FGM-CEJ(mm)
OHX06PCD,LOA: Max R(C) DF FGM-sulcus(mm)
OHX06PCM,LOA: Max R(C) MdF FGM-sulcus(mm)
OHX06PCS,LOA: Max R(C) MF FGM-sulcus(mm)
OHX06PCP,LOA: Max R(C) DL FGM-sulcus(mm)
OHX06PCL,LOA: Max R(C) MdL FGM-sulcus(mm)
OHX06PCA,LOA: Max R(C) ML FGM-sulcus(mm)
OHX06LAD,LOA: Max R(C) DF calculated AL(mm)
OHX06LAM,LOA: Max R(C) MdF calculated AL(mm)
OHX06LAS,LOA: Max R(C) MF calculated AL(mm)
OHX06LAP,LOA: Max R(C) DL calculated AL(mm)
OHX06LAL,LOA: Max R(C) MdL calculated AL(mm)
OHX06LAA,LOA: Max R(C) ML calculated AL(mm)
OHX07CJD,LOA: Max R(LI) DF FGM-CEJ(mm)
OHX07CJM,LOA: Max R(LI) MdF FGM-CEJ(mm)
OHX07CJS,LOA: Max R(LI) MF FGM-CEJ(mm)
OHX07CJP,LOA: Max R(LI) DL FGM-CEJ(mm)
OHX07CJL,LOA: Max R(LI) MdL FGM-CEJ(mm)
OHX07CJA,LOA: Max R(LI) ML FGM-CEJ(mm)
OHX07PCD,LOA: Max R(LI) DF FGM-sulcus(mm)
OHX07PCM,LOA: Max R(LI) MdF FGM-sulcus(mm)
OHX07PCS,LOA: Max R(LI) MF FGM-sulcus(mm)
OHX07PCP,LOA: Max R(LI) DL FGM-sulcus(mm)
OHX07PCL,LOA: Max R(LI) MdL FGM-sulcus(mm)
OHX07PCA,LOA: Max R(LI) ML FGM-sulcus(mm)
OHX07LAD,LOA: Max R(LI) DF calculated AL(mm)
OHX07LAM,LOA: Max R(LI) MdF calculated AL(mm)
OHX07LAS,LOA: Max R(LI) MF calculated AL(mm)
OHX07LAP,LOA: Max R(LI) DL calculated AL(mm)
OHX07LAL,LOA: Max R(LI) MdL calculated AL(mm)
OHX07LAA,LOA: Max R(LI) ML calculated AL(mm)
OHX08CJD,LOA: Max R(CI) DF FGM-CEJ(mm)
OHX08CJM,LOA: Max R(CI) MdF FGM-CEJ(mm)
OHX08CJS,LOA: Max R(CI) MF FGM-CEJ(mm)
OHX08CJP,LOA: Max R(CI) DL FGM-CEJ(mm)
OHX08CJL,LOA: Max R(CI) MdL FGM-CEJ(mm)
OHX08CJA,LOA: Max R(CI) ML FGM-CEJ(mm)
OHX08PCD,LOA: Max R(CI) DF FGM-sulcus(mm)
OHX08PCM,LOA: Max R(CI) MdF FGM-sulcus(mm)
OHX08PCS,LOA: Max R(CI) MF FGM-sulcus(mm)
OHX08PCP,LOA: Max R(CI) DL FGM-sulcus(mm)
OHX08PCL,LOA: Max R(CI) MdL FGM-sulcus(mm)
OHX08PCA,LOA: Max R(CI) ML FGM-sulcus(mm)
OHX08LAD,LOA: Max R(CI) DF calculated AL(mm)
OHX08LAM,LOA: Max R(CI) MdF calculated AL(mm)
OHX08LAS,LOA: Max R(CI) MF calculated AL(mm)
OHX08LAP,LOA: Max R(CI) DL calculated AL(mm)
OHX08LAL,LOA: Max R(CI) MdL calculated AL(mm)
OHX08LAA,LOA: Max R(CI) ML calculated AL(mm)
OHX09CJD,LOA: Max L(CI) DF FGM-CEJ(mm)
OHX09CJM,LOA: Max L(CI) MdF FGM-CEJ(mm)
OHX09CJS,LOA: Max L(CI) MF FGM-CEJ(mm)
OHX09CJP,LOA: Max L(CI) DL FGM-CEJ(mm)
OHX09CJL,LOA: Max L(CI) MdL FGM-CEJ(mm)
OHX09CJA,LOA: Max L(CI) ML FGM-CEJ(mm)
OHX09PCD,LOA: Max L(CI) DF FGM-sulcus(mm)
OHX09PCM,LOA: Max L(CI) MdF FGM-sulcus(mm)
OHX09PCS,LOA: Max L(CI) MF FGM-sulcus(mm)
OHX09PCP,LOA: Max L(CI) DL FGM-sulcus(mm)
OHX09PCL,LOA: Max L(CI) MdL FGM-sulcus(mm)
OHX09PCA,LOA: Max L(CI) ML FGM-sulcus(mm)
OHX09LAD,LOA: Max L(CI) DF calculated AL(mm)
OHX09LAM,LOA: Max L(CI) MdF calculated AL(mm)
OHX09LAS,LOA: Max L(CI) MF calculated AL(mm)
OHX09LAP,LOA: Max L(CI) DL calculated AL(mm)
OHX09LAL,LOA: Max L(CI) MdL calculated AL(mm)
OHX09LAA,LOA: Max L(CI) ML calculated AL(mm)
OHX10CJD,LOA: Max L(LI) DF FGM-CEJ(mm)
OHX10CJM,LOA: Max L(LI) MdF FGM-CEJ(mm)
OHX10CJS,LOA: Max L(LI) MF FGM-CEJ(mm)
OHX10CJP,LOA: Max L(LI) DL FGM-CEJ(mm)
OHX10CJL,LOA: Max L(LI) MdL FGM-CEJ(mm)
OHX10CJA,LOA: Max L(LI) ML FGM-CEJ(mm)
OHX10PCD,LOA: Max L(LI) DF FGM-sulcus(mm)
OHX10PCM,LOA: Max L(LI) MdF FGM-sulcus(mm)
OHX10PCS,LOA: Max L(LI) MF FGM-sulcus(mm)
OHX10PCP,LOA: Max L(LI) DL FGM-sulcus(mm)
OHX10PCL,LOA: Max L(LI) MdL FGM-sulcus(mm)
OHX10PCA,LOA: Max L(LI) ML FGM-sulcus(mm)
OHX10LAD,LOA: Max L(LI) DF calculated AL(mm)
OHX10LAM,LOA: Max L(LI) MdF calculated AL(mm)
OHX10LAS,LOA: Max L(LI) MF calculated AL(mm)
OHX10LAP,LOA: Max L(LI) DL calculated AL(mm)
OHX10LAL,LOA: Max L(LI) MdL calculated AL(mm)
OHX10LAA,LOA: Max L(LI) ML calculated AL(mm)
OHX11CJD,LOA: Max L(C) DF FGM-CEJ(mm)
OHX11CJM,LOA: Max L(C) MdF FGM-CEJ(mm)
OHX11CJS,LOA: Max L(C) MF FGM-CEJ(mm)
OHX11CJP,LOA: Max L(C) DL FGM-CEJ(mm)
OHX11CJL,LOA: Max L(C) MdL FGM-CEJ(mm)
OHX11CJA,LOA: Max L(C) ML FGM-CEJ(mm)
OHX11PCD,LOA: Max L(C) DF FGM-sulcus(mm)
OHX11PCM,LOA: Max L(C) MdF FGM-sulcus(mm)
OHX11PCS,LOA: Max L(C) MF FGM-sulcus(mm)
OHX11PCP,LOA: Max L(C) DL FGM-sulcus(mm)
OHX11PCL,LOA: Max L(C) MdL FGM-sulcus(mm)
OHX11PCA,LOA: Max L(C) ML FGM-sulcus(mm)
OHX11LAD,LOA: Max L(C) DF calculated AL(mm)
OHX11LAM,LOA: Max L(C) MdF calculated AL(mm)
OHX11LAS,LOA: Max L(C) MF calculated AL(mm)
OHX11LAP,LOA: Max L(C) DL calculated AL(mm)
OHX11LAL,LOA: Max L(C) MdL calculated AL(mm)
OHX11LAA,LOA: Max L(C) ML calculated AL(mm)
OHX12CJD,LOA: Max L(1B) DF FGM-CEJ(mm)
OHX12CJM,LOA: Max L(1B) MdF FGM-CEJ(mm)
OHX12CJS,LOA: Max L(1B) MF FGM-CEJ(mm)
OHX12CJP,LOA: Max L(1B) DL FGM-CEJ(mm)
OHX12CJL,LOA: Max L(1B) MdL FGM-CEJ(mm)
OHX12CJA,LOA: Max L(1B) ML FGM-CEJ(mm)
OHX12PCD,LOA: Max L(1B) DF FGM-sulcus(mm)
OHX12PCM,LOA: Max L(1B) MdF FGM-sulcus(mm)
OHX12PCS,LOA: Max L(1B) MF FGM-sulcus(mm)
OHX12PCP,LOA: Max L(1B) DL FGM-sulcus(mm)
OHX12PCL,LOA: Max L(1B) MdL FGM-sulcus(mm)
OHX12PCA,LOA: Max L(1B) ML FGM-sulcus(mm)
OHX12LAD,LOA: Max L(1B) DF calculated AL(mm)
OHX12LAM,LOA: Max L(1B) MdF calculated AL(mm)
OHX12LAS,LOA: Max L(1B) MF calculated AL(mm)
OHX12LAP,LOA: Max L(1B) DL calculated AL(mm)
OHX12LAL,LOA: Max L(1B) MdL calculated AL(mm)
OHX12LAA,LOA: Max L(1B) ML calculated AL(mm)
OHX13CJD,LOA: Max L(2B) DF FGM-CEJ(mm)
OHX13CJM,LOA: Max L(2B) MdF FGM-CEJ(mm)
OHX13CJS,LOA: Max L(2B) MF FGM-CEJ(mm)
OHX13CJP,LOA: Max L(2B) DL FGM-CEJ(mm)
OHX13CJL,LOA: Max L(2B) MdL FGM-CEJ(mm)
OHX13CJA,LOA: Max L(2B) ML FGM-CEJ(mm)
OHX13PCD,LOA: Max L(2B) DF FGM-sulcus(mm)
OHX13PCM,LOA: Max L(2B) MdF FGM-sulcus(mm)
OHX13PCS,LOA: Max L(2B) MF FGM-sulcus(mm)
OHX13PCP,LOA: Max L(2B) DL FGM-sulcus(mm)
OHX13PCL,LOA: Max L(2B) MdL FGM-sulcus(mm)
OHX13PCA,LOA: Max L(2B) ML FGM-sulcus(mm)
OHX13LAD,LOA: Max L(2B) DF calculated AL(mm)
OHX13LAM,LOA: Max L(2B) MdF calculated AL(mm)
OHX13LAS,LOA: Max L(2B) MF calculated AL(mm)
OHX13LAP,LOA: Max L(2B) DL calculated AL(mm)
OHX13LAL,LOA: Max L(2B) MdL calculated AL(mm)
OHX13LAA,LOA: Max L(2B) ML calculated AL(mm)
OHX14CJD,LOA: Max L(1M) DF FGM-CEJ(mm)
OHX14CJM,LOA: Max L(1M) MdF FGM-CEJ(mm)
OHX14CJS,LOA: Max L(1M) MF FGM-CEJ(mm)
OHX14CJP,LOA: Max L(1M) DL FGM-CEJ(mm)
OHX14CJL,LOA: Max L(1M) MdL FGM-CEJ(mm)
OHX14CJA,LOA: Max L(1M) ML FGM-CEJ(mm)
OHX14PCD,LOA: Max L(1M) DF FGM-sulcus(mm)
OHX14PCM,LOA: Max L(1M) MdF FGM-sulcus(mm)
OHX14PCS,LOA: Max L(1M) MF FGM-sulcus(mm)
OHX14PCP,LOA: Max L(1M) DL FGM-sulcus(mm)
OHX14PCL,LOA: Max L(1M) MdL FGM-sulcus(mm)
OHX14PCA,LOA: Max L(1M) ML FGM-sulcus(mm)
OHX14LAD,LOA: Max L(1M) DF calculated AL(mm)
OHX14LAM,LOA: Max L(1M) MdF calculated AL(mm)
OHX14LAS,LOA: Max L(1M) MF calculated AL(mm)
OHX14LAP,LOA: Max L(1M) DL calculated AL(mm)
OHX14LAL,LOA: Max L(1M) MdL calculated AL(mm)
OHX14LAA,LOA: Max L(1M) ML calculated AL(mm)
OHX15CJD,LOA: Max L(2M) DF FGM-CEJ(mm)
OHX15CJM,LOA: Max L(2M) MdF FGM-CEJ(mm)
OHX15CJS,LOA: Max L(2M) MF FGM-CEJ(mm)
OHX15CJP,LOA: Max L(2M) DL FGM-CEJ(mm)
OHX15CJL,LOA: Max L(2M) MdL FGM-CEJ(mm)
OHX15CJA,LOA: Max L(2M) ML FGM-CEJ(mm)
OHX15PCD,LOA: Max L(2M) DF FGM-sulcus(mm)
OHX15PCM,LOA: Max L(2M) MdF FGM-sulcus(mm)
OHX15PCS,LOA: Max L(2M) MF FGM-sulcus(mm)
OHX15PCP,LOA: Max L(2M) DL FGM-sulcus(mm)
OHX15PCL,LOA: Max L(2M) MdL FGM-sulcus(mm)
OHX15PCA,LOA: Max L(2M) ML FGM-sulcus(mm)
OHX15LAD,LOA: Max L(2M) DF calculated AL(mm)
OHX15LAM,LOA: Max L(2M) MdF calculated AL(mm)
OHX15LAS,LOA: Max L(2M) MF calculated AL(mm)
OHX15LAP,LOA: Max L(2M) DL calculated AL(mm)
OHX15LAL,LOA: Max L(2M) MdL calculated AL(mm)
OHX15LAA,LOA: Max L(2M) ML calculated AL(mm)
OHX18CJD,LOA: Mnd L(2M) DF FGM-CEJ(mm)
OHX18CJM,LOA: Mnd L(2M) MdF FGM-CEJ(mm)
OHX18CJS,LOA: Mnd L(2M) MF FGM-CEJ(mm)
OHX18CJP,LOA: Mnd L(2M) DL FGM-CEJ(mm)
OHX18CJL,LOA: Mnd L(2M) MdL FGM-CEJ(mm)
OHX18CJA,LOA: Mnd L(2M) ML FGM-CEJ(mm)
OHX18PCD,LOA: Mnd L(2M) DF FGM-sulcus(mm)
OHX18PCM,LOA: Mnd L(2M) MdF FGM-sulcus(mm)
OHX18PCS,LOA: Mnd L(2M) MF FGM-sulcus(mm)
OHX18PCP,LOA: Mnd L(2M) DL FGM-sulcus(mm)
OHX18PCL,LOA: Mnd L(2M) MdL FGM-sulcus(mm)
OHX18PCA,LOA: Mnd L(2M) ML FGM-sulcus(mm)
OHX18LAD,LOA: Mnd L(2M) DF calculated AL(mm)
OHX18LAM,LOA: Mnd L(2M) MdF calculated AL(mm)
OHX18LAS,LOA: Mnd L(2M) MF calculated AL(mm)
OHX18LAP,LOA: Mnd L(2M) DL calculated AL(mm)
OHX18LAL,LOA: Mnd L(2M) MdL calculated AL(mm)
OHX18LAA,LOA: Mnd L(2M) ML calculated AL(mm)
OHX19CJD,LOA: Mnd L(1M) DF FGM-CEJ(mm)
OHX19CJM,LOA: Mnd L(1M) MdF FGM-CEJ(mm)
OHX19CJS,LOA: Mnd L(1M) MF FGM-CEJ(mm)
OHX19CJP,LOA: Max L(1M) DL FGM-CEJ(mm)
OHX19CJL,LOA: Mnd L(1M) MdL FGM-CEJ(mm)
OHX19CJA,LOA: Mnd L(1M) ML FGM-CEJ(mm)
OHX19PCD,LOA: Mnd L(1M) DF FGM-sulcus(mm)
OHX19PCM,LOA: Mnd L(1M) MdF FGM-sulcus(mm)
OHX19PCS,LOA: Mnd L(1M) MF FGM-sulcus(mm)
OHX19PCP,LOA: Mnd L(1M) DL FGM-sulcus(mm)
OHX19PCL,LOA: Mnd L(1M) MdL FGM-sulcus(mm)
OHX19PCA,LOA: Mnd L(1M) ML FGM-sulcus(mm)
OHX19LAD,LOA: Mnd L(1M) DF calculated AL(mm)
OHX19LAM,LOA: Mnd L(1M) MdF calculated AL(mm)
OHX19LAS,LOA: Mnd L(1M) MF calculated AL(mm)
OHX19LAP,LOA: Mnd L(1M) DL calculated AL(mm)
OHX19LAL,LOA: Mnd L(1M) MdL calculated AL(mm)
OHX19LAA,LOA: Mnd L(1M) ML calculated AL(mm)
OHX20CJD,LOA: Mnd L(2B) DF FGM-CEJ(mm)
OHX20CJM,LOA: Mnd L(2B) MdF FGM-CEJ(mm)
OHX20CJS,LOA: Mnd L(2B) MF FGM-CEJ(mm)
OHX20CJP,LOA: Mnd L(2B) DL FGM-CEJ(mm)
OHX20CJL,LOA: Mnd L(2B) MdL FGM-CEJ(mm)
OHX20CJA,LOA: Mnd L(2B) ML FGM-CEJ(mm)
OHX20PCD,LOA: Mnd L(2B) DF FGM-sulcus(mm)
OHX20PCM,LOA: Mnd L(2B) MdF FGM-sulcus(mm)
OHX20PCS,LOA: Mnd L(2B) MF FGM-sulcus(mm)
OHX20PCP,LOA: Mnd L(2B) DL FGM-sulcus(mm)
OHX20PCL,LOA: Mnd L(2B) MdL FGM-sulcus(mm)
OHX20PCA,LOA: Mnd L(2B) ML FGM-sulcus(mm)
OHX20LAD,LOA: Mnd L(2B) DF calculated AL(mm)
OHX20LAM,LOA: Mnd L(2B) MdF calculated AL(mm)
OHX20LAS,LOA: Mnd L(2B) MF calculated AL(mm)
OHX20LAP,LOA: Mnd L(2B) DL calculated AL(mm)
OHX20LAL,LOA: Mnd L(2B) MdL calculated AL(mm)
OHX20LAA,LOA: Mnd L(2B) ML calculated AL(mm)
OHX21CJD,LOA: Mnd L(1B) DF FGM-CEJ(mm)
OHX21CJM,LOA: Mnd L(1B) MdF FGM-CEJ(mm)
OHX21CJS,LOA: Mnd L(1B) MF FGM-CEJ(mm)
OHX21CJP,LOA: Mnd L(1B) DL FGM-CEJ(mm)
OHX21CJL,LOA: Mnd L(1B) MdL FGM-CEJ(mm)
OHX21CJA,LOA: Mnd L(1B) ML FGM-CEJ(mm)
OHX21PCD,LOA: Mnd L(1B) DF FGM-sulcus(mm)
OHX21PCM,LOA: Mnd L(1B) MdF FGM-sulcus(mm)
OHX21PCS,LOA: Mnd L(1B) MF FGM-sulcus(mm)
OHX21PCP,LOA: Mnd L(1B) DL FGM-sulcus(mm)
OHX21PCL,LOA: Mnd L(1B) MdL FGM-sulcus(mm)
OHX21PCA,LOA: Mnd L(1B) ML FGM-sulcus(mm)
OHX21LAD,LOA: Mnd L(1B) DF calculated AL(mm)
OHX21LAM,LOA: Mnd L(1B) MdF calculated AL(mm)
OHX21LAS,LOA: Mnd L(1B) MF calculated AL(mm)
OHX21LAP,LOA: Mnd L(1B) DL calculated AL(mm)
OHX21LAL,LOA: Mnd L(1B) MdL calculated AL(mm)
OHX21LAA,LOA: Mnd L(1B) ML calculated AL(mm)
OHX22CJD,LOA: Mnd L(C) DF FGM-CEJ(mm)
OHX22CJM,LOA: Mnd L(C) MdF FGM-CEJ(mm)
OHX22CJS,LOA: Mnd L(C) MF FGM-CEJ(mm)
OHX22CJP,LOA: Mnd L(C) DL FGM-CEJ(mm)
OHX22CJL,LOA: Mnd L(C) MdL FGM-CEJ(mm)
OHX22CJA,LOA: Mnd L(C) ML FGM-CEJ(mm)
OHX22PCD,LOA: Mnd L(C) DF FGM-sulcus(mm)
OHX22PCM,LOA: Mnd L(C) MdF FGM-sulcus(mm)
OHX22PCS,LOA: Mnd L(C) MF FGM-sulcus(mm)
OHX22PCP,LOA: Mnd L(C) DL FGM-sulcus(mm)
OHX22PCL,LOA: Mnd L(C) MdL FGM-sulcus(mm)
OHX22PCA,LOA: Mnd L(C) ML FGM-sulcus(mm)
OHX22LAD,LOA: Mnd L(C) DF calculated AL(mm)
OHX22LAM,LOA: Mnd L(C) MdF calculated AL(mm)
OHX22LAS,LOA: Mnd L(C) MF calculated AL(mm)
OHX22LAP,LOA: Mnd L(C) DL calculated AL(mm)
OHX22LAL,LOA: Mnd L(C) MdL calculated AL(mm)
OHX22LAA,LOA: Mnd L(C) ML calculated AL(mm)
OHX23CJD,LOA: Mnd L(LI) DF FGM-CEJ(mm)
OHX23CJM,LOA: Mnd L(LI) MdF FGM-CEJ(mm)
OHX23CJS,LOA: Mnd L(LI) MF FGM-CEJ(mm)
OHX23CJP,LOA: Mnd L(LI) DL FGM-CEJ(mm)
OHX23CJL,LOA: Mnd L(LI) MdL FGM-CEJ(mm)
OHX23CJA,LOA: Mnd L(LI) ML FGM-CEJ(mm)
OHX23PCD,LOA: Mnd L(LI) DF FGM-sulcus(mm)
OHX23PCM,LOA: Mnd L(LI) MdF FGM-sulcus(mm)
OHX23PCS,LOA: Mnd L(LI) MF FGM-sulcus(mm)
OHX23PCP,LOA: Mnd L(LI) DL FGM-sulcus(mm)
OHX23PCL,LOA: Mnd L(LI) MdL FGM-sulcus(mm)
OHX23PCA,LOA: Mnd L(LI) ML FGM-sulcus(mm)
OHX23LAD,LOA: Mnd L(LI) DF calculated AL(mm)
OHX23LAM,LOA: Mnd L(LI) MdF calculated AL(mm)
OHX23LAS,LOA: Mnd L(LI) MF calculated AL(mm)
OHX23LAP,LOA: Mnd L(LI) DL calculated AL(mm)
OHX23LAL,LOA: Mnd L(LI) MdL calculated AL(mm)
OHX23LAA,LOA: Mnd L(LI) ML calculated AL(mm)
OHX24CJD,LOA: Mnd L(CI) DF FGM-CEJ(mm)
OHX24CJM,LOA: Mnd L(CI) MdF FGM-CEJ(mm)
OHX24CJS,LOA: Mnd L(CI) MF FGM-CEJ(mm)
OHX24CJP,LOA: Mnd L(CI) DL FGM-CEJ(mm)
OHX24CJL,LOA: Mnd L(CI) MdL FGM-CEJ(mm)
OHX24CJA,LOA: Mnd L(CI) ML FGM-CEJ(mm)
OHX24PCD,LOA: Mnd L(CI) DF FGM-sulcus(mm)
OHX24PCM,LOA: Mnd L(CI) MdF FGM-sulcus(mm)
OHX24PCS,LOA: Mnd L(CI) MF FGM-sulcus(mm)
OHX24PCP,LOA: Mnd L(CI) DL FGM-sulcus(mm)
OHX24PCL,LOA: Mnd L(CI) MdL FGM-sulcus(mm)
OHX24PCA,LOA: Mnd L(CI) ML FGM-sulcus(mm)
OHX24LAD,LOA: Mnd L(CI) DF calculated AL(mm)
OHX24LAM,LOA: Mnd L(CI) MdF calculated AL(mm)
